¿ID,Vehicle_Type,description
1,9,Car
3,9,Car
5,9,Car
6,9,Car
7,9,Car
8,9,Car
12,9,Car
15,9,Car
16,9,Car
18,9,Car
19,9,Car
21,3,Motorcycle 125cc and under
10,3,Motorcycle 125cc and under
13,3,Motorcycle 125cc and under
14,2,Motorcycle 50cc and under
24,4,Motorcycle over 125cc and up to 500cc
25,4,Motorcycle over 125cc and up to 500cc
20,4,Motorcycle over 125cc and up to 500cc
22,5,Motorcycle over 500cc
23,5,Motorcycle over 500cc
9,5,Motorcycle over 500cc
17,8,Taxi/Private hire car
2,8,Taxi/Private hire car
4,19,Van / Goods 3.5 tonnes mgw or under
11,19,Van / Goods 3.5 tonnes mgw or under
