ID,make,model
1,"SUZUKI","ALTO CRUZ"
4,"SUZUKI","ALTO GL"
3,"SUZUKI","ALTO GL"
2,"SUZUKI","ALTO GL"
5,"SUZUKI","ALTO GL AUTO "
6,"SUZUKI","ALTO GLS"
7,"SUZUKI","ALTO PLAY"
11,"SUZUKI","ALTO SZ"
10,"SUZUKI","ALTO SZ"
9,"SUZUKI","ALTO SZ"
8,"SUZUKI","ALTO SZ"
12,"SUZUKI","ALTO SZ2"
15,"SUZUKI","ALTO SZ3"
14,"SUZUKI","ALTO SZ3"
13,"SUZUKI","ALTO SZ3"
17,"SUZUKI","ALTO SZ4"
16,"SUZUKI","ALTO SZ4"
18,"SUZUKI","ALTO SZ4 AUTO"
19,"SUZUKI","ALTO SZ-L"
20,"SUZUKI","AN 250 W"
21,"SUZUKI","AN 250 Y"
22,"SUZUKI","AN 400"
23,"SUZUKI","AN 400 AL4"
24,"SUZUKI","AN 400 K7"
25,"SUZUKI","AN 400 K8"
